2022|66971395|
2021|67026292|
2020|67081234|
2019|66836327|
2018|66460344|
2017|66058859|
2016|65611593|
2015|65116219|
2014|64602298|
2013|64128273|
2012|63700215|
2011|63258810|
2010|62766365|
2009|62276270|
2008|61806995|
2007|61322463|
2006|60846820|
2005|60401206|
2004|59987905|
2003|59647577|
2002|59370479|
2001|59119673|
2000|58892514|
1999|58682466|
1998|58487141|
1997|58316954|
1996|58166950|
1995|58019030|
1994|57865745|
1993|57718614|
1992|57580402|
1991|57424897|
1990|57247586|
1989|57076711|
1988|56928327|
1987|56802050|
1986|56681396|
1985|56550268|
1984|56422072|
1983|56332848|
1982|56313641|
1981|56333829|
1980|56314216|
1979|56246951|
1978|56196504|
1977|56193492|
1976|56211968|
1975|56225800|
1974|56229974|
1973|56194527|
1972|56086065|
1971|55896223|
1970|55663250|
1969|55441750|
1968|55211700|
1967|54943600|
1966|54648500|
1965|54348050|
1964|54000000|
1963|53650000|
1962|53250000|
1961|52800000|
1960|52400000|
